emilia	2
maszk	1
kaszëbsczi	981
òdkriwca	1
ùczbòwnik	10
do	10418
kaszëbsczégò	678
jãzëka	492
klasa	9
podrcznik	9
jest	365
finansowany	4
ze	1643
rodków	4
budetu	2
pastwa	215
czci	61
której	56
dysponentem	1
minister	5
waciwy	1
spraw	63
owiaty	10
wychowania	9
dopuszczony	4
uytku	5
szkolnego	7
przez	1957
ministra	13
waciwego	6
wpisany	4
wykazu	4
podrczników	6
przeznaczonych	5
ksztacenia	17
ogólnego	8
mniejszoci	20
narodowych	23
etnicznych	17
oraz	172
spoecznoci	40
posugujcej	5
si	1115
jzykiem	21
regionalnym	23
nauczania	20
jzyka	96
kaszubskiego	174
na	16886
ii	667
etapie	6
edukacyjnym	4
podstawie	19
opinii	9
rzeczoznawców	4
prof	86
marka	21
cybulskiego	3
mgr	10
wandy	2
lew-kiedrowskiej	2
dr	88
tomasza	8
karpowicza	2
rok	3260
dopuszczenia	8
nr	85
koordynacja	6
wydawnicza	5
lucyna	18
radzimiska	8
redakcja	16
anna	43
dunst	3
korekta	9
eugeniusz	15
pryczkowski	17
ilustracje	7
joanna	9
grudnik	2
projekt	23
layout	1
okadki	9
grafiki	1
agata	9
przybylska	6
graficzna	6
skad	11
piotr	22
geisler	2
maciejewska	3
zdjcia	4
arch	10
kul	5
maszke	1
rodziny	16
janusza	18
mamelskiego	5
grzegorz	6
schramke	16
muzeum	32
pimiennictwa	11
muzyki	12
kaszubsko-pomorskiej	15
gminnego	1
orodka	2
kultury	130
sierakowicach	1
seydy	1
sawomir	3
lewandowski	3
ródo	5
map	2
jan	335
mordawski	17
atlas	15
dziejów	46
pomorza	219
jego	495
mieszkaców	192
kaszubów	359
gdask	741
wydawca	13
autorka	7
skadaj	10
podzikowania	5
wejherowie	14
za	2883
pomoc	38
udostpnieniu	1
materiaów	23
podrcznika	4
copyright	6
by	249
zrzeszenie	34
kaszubsko-pomorskie	30
ul	8
straganiarska	7
wwwkaszubipl	7
biuro	7
kaszubipl	6
isbn	23
----	10
spisënk	32
zamkoscë	529
ôrtë	82
drëszstwa	2
gdze	491
dwùch	111
sã	8486
bije	40
ajming	99
czterolistna	10
koniczyna	11
nowé	85
ëcé	415
remùsa	241
aleksander	184
majkòwsczi	135
przigòdë	127
wëjimk	91
drëszba	4
wiedno	439
ewa	25
warmòwskô	13
drëszkò	5
mòja	138
ùroczëstô	4
przësëga	5
lucy	2
maud	2
montgomery	2
ana	40
zelony	27
grzëpë	6
drëch	18
trba	432
to	9324
je	11260
waspón	8
mùcha	12
pón	205
zôbòrsczi	15
król	117
jezora	347
zabic	7
smãtka	70
kristina	11
léwna	3
mòtowidlo	5
fóra	3
kùrã	8
frãcëszk	38
sãdzëcczi	9
sprawiedlëwi	5
rozdzelënk	4
klapë	4
pludrë	4
rómk	13
drzédónk	9
codniowé	11
kaszëbach	931
cotka	32
tila	8
wùja	26
bernat	33
stanisôw	42
janke	92
psë	51
jak	5411
tósz	11
kòtã	5
ten	1130
prôwdzëwi	16
co	3403
nieszczescym	7
ëczlëwi	3
alozy	3
bùdzysz	26
ti	981
trzej	11
przëjacelowie	1
pòwtórzenié	8
kòmù	42
namienioné	13
historia	60
szëmóna	22
jón	167
drzédón	49
jabónce	5
gôdaa	13
miota	65
czasach	326
wòjnë	146
léón	36
heyka	12
wòjna	48
pòjedinczné	8
zdanié	134
rozbiér	5
òpi	19
wieszczi	23
adóm	29
hébel	6
droga	130
wòlnëch	7
lëdzy	595
wieczórny	12
dôce	10
niestwòrzoné	3
pòwiôstczi	63
òprac	2
grégór	2
mòrë	11
aùgùstin	19
dominik	44
mòrach	4
symbòl	23
szczescô	45
symbol	6
szczcia	10
òdmina	5
òtomin	26
janusz	47
mamelsczi	16
òtomina	7
zdania	135
rozwiniãté	7
czdë	9
ëcô	197
starëszk	28
twardowski	6
al	20
òrmùzd	20
dobiwô	15
wszëtczé	243
drodi	102
prowadz	17
smiercë	175
czowiekù	19
miô	590
strach	126
czemù	187
tak	2913
nie	3955
wiém	115
pamiãcë	46
mamelsczégò	8
wiara	51
remùs	185
witosawã	7
lëdóm	9
ce	307
michô	58
piéper	15
wzerôj	2
rodu	59
swiãców	13
lektura	3
przeczëtaniô	3
caoscë	55
roman	21
kucharski	6
natrzecy	6
szczeniã	8
wanoimë	2
zadin	3
czôrlisczi	23
hieronim	39
derdowsczi	38
panu	123
czôrlisczim	61
pùcka	94
pò	2637
sécë	81
jachô	94
malôrz	28
namalowô	7
òpisënk	61
nôtërë	27
wanonicë	2
bòlesôw	19
bòrk	23
wanonik	11
òddzãkòwanié	6
króla	97
nôdibë	5
czasnika	57
kaszëbi	422
kanadze	57
eùgeniusz	20
prëczkòwsczi	23
kaszëbë	291
ju	1484
czas	753
spicé	19
wòjskò	56
miosawë	2
òstatnégò	12
pòmòrsce	52
trzepòtnica	3
gréta	13
mòrzkùlowie	4
plesta	7
drzëmaowie	2
róman	20
òpòwiésc	11
frãcëszkù	3
peplisczim	2
chcemë	77
le	1683
jachac	41
dodóm	133
chrëpa	10
szukô	49
swòjégò	129
szwagra	3
latné	4
ferie	4
prowadzi	9
los	30
tómaczenié	6
bòena	17
ùgòwskô	12
lat	506
dali	286
tómk	25
fópka	16
òpòwiôstka	3
s-f	3
kôrtka	5
kalãdôrza	938
òniwinë	4
karnowsczi	51
pòd	744
widnã	3
królewiónka	55
paacu	50
kaszëbsczé	274
diktando	22
dark	4
òd	2538
gduska	208
szczecëna	16
dwie	154
dekadë	5
pisënkã	6
gòdë	40
dlô	1314
zgòdë	25
wilijny	9
widk	5
wczora	36
wieczora	21
jid	115
rómpsczi	15
swiat	276
przed	884
tob	110
klãk	9
spiewôk	5
trepczik	77
bibi	18
hildegarda	2
hintzkówna	2
nieba	93
dostô	105
starka	44
mój	362
stark	40
zymkòwô	8
mùzyka	39
lasa	58
wanda	22
lew-czedrowskô	7
zôpùstë	10
zapusty	4
òsoblëwé	23
zédzenié	30
stan	90
so	755
christus	24
smierc	149
krziew	6
mëmczin	6
dzé	442
òczë	208
mëmë	14
chto	525
nas	423
dbô	14
tatkòwi	5
tatka	30
zjôzd	20
kaszëbów	618
sowôrzk	17
platce	7
cd	12
bibliografiô	17
spiéwanié	7
karta	3
robòtë	148
gôdanié	5
robòta	83
karnach	26
sëchanié	2
zadanié	23
zrobieniô	4
zesziwkù	73
òbzéranié	4
szukanié	8
infòrmacjów	16
internet	13
pòdkast	4
rozrzeszë	13
tãgódkã	15
pózni	200
napiszë	151
czile	207
synonimów	3
rozrzeszeniô	3
niwiznowò	1
nôdzeja	26
nierozczczi	1
slëbùjã	1
cë	652
jinaczi	158
kamrôt	4
pionowò	1
pòswiãcenié	3
kòmùs	11
prawòsc	1
wiérnosc	6
ùtcëwòta	2
ùkòchóny	7
pòmagac	10
jakô	222
znanka	21
nôwôniészô	13
drëszstwie	3
ùdokaznij	66
swòje	347
ich	199
buty	2
których	65
chodzili	1
kocioa	43
stay	8
dawno	4
wyczyszczone	1
poysk	1
pod	607
aw	6
janek	14
franek	14
szykowali	1
od	445
kilku	13
dni	287
tace	8
które	76
odby	6
miay	26
dzi	58
wieczorem	3
chacie	2
ssiada	4
wery	2
czekajc	2
chwil	22
przyjaciele	4
siedzieli	1
obok	52
siebie	38
pocie	1
milczeli	1
wiedzieli	2
jeszcze	100
obaj	3
durz	1
tej	1625
samej	3
najadniejszej	1
we	1076
wsi	49
dziewczynie	1
helenie	2
pierwszy	33
odezwa	4
mòje	141
bótë	21
jô	3139
wësmarowô	1
ùrbinã	1
spódczi	1
té	2726
przë	856
tacowaniu	2
zarô	116
zeszlipùj	2
pòsmarowô	1
spódkù	9
ojã	2
nick	114
chùtczi	31
pòslizgniesz	1
wëwalisz	1
bótów	9
zedrzesz	1
pouczajco	1
objani	1
dodajc	1
sznurowada	1
móm	149
rzemiannétatk	1
mie	1097
kùpi	19
òdpùsce	4
cichoci	1
marzc	2
tym	170
bdzie	31
ni	1501
taczy	4
drobnego	3
lub	107
oberwaca	2
kopota	2
aby	38
tylko	142
zmyli	1
taktu	3
daj	33
boe	22
nadepn	1
jej	126
nog	39
wtedy	16
dopiero	33
skompromitowa	1
nawizaniu	2
tych	62
myli	13
zapyta	12
franka	6
të	1115
rozmiejesz	38
tacowac	13
tëc	8
rozmiejã	18
przyjaciel	14
poczu	6
nic	114
uraony	2
òbôczisz	6
dzys	331
bãdã	60
helén	2
tacowô	4
drgn	2
ukucie	1
zazdroci	3
taczim	65
heléna	3
bãdze	275
powiedzia	7
zawistnie	1
jaczim	214
chopkù	10
odpowiedzi	4
szturchn	1
janka	12
gwatownie	3
nieprzygotowany	1
zsun	1
potu	5
zacza	43
szarpanina	1
wygldao	1
jakby	25
mocowali	1
bose	3
stopy	4
gboko	20
zaryy	1
piasek	5
najpierw	15
przyglday	1
im	157
zdziwione	1
dzieci	39
potem	33
przybiegy	1
obie	11
matki	11
rozganiay	1
knôpë	3
dôjta	28
sobie	327
pòkù	23
òbarknãlë	1
wa	260
czë	751
môta	29
zgnilcë	2
spiekloné	1
krzyczay	1
chopcy	20
oprzytomnieli	1
natychmiast	3
kady	15
nich	621
otrzyma	5
zajcie	1
mia	149
nakarmi	1
krow	1
matka	113
wysaa	1
pustkowie	1
po	1116
motowido	2
nawijania	1
weny	3
kiedy	54
wtoczy	1
obory	1
pkiem	1
siana	1
wiadrem	1
wody	9
uwizana	1
krowa	28
obejrzaa	1
ciekawie	2
woy	8
siano	1
koryto	1
ale	2765
pyskiem	2
signa	1
wpierw	2
jednoczenie	14
przedni	2
nadepna	1
jankowi	1
bos	11
stop	10
krzykiem	1
zacz	493
wali	10
piciami	1
karku	13
drgna	1
wypia	1
wszystko	34
wylizaa	1
wiadro	1
wówczas	46
chopcu	3
udao	7
uwolni	4
spod	16
kopyta	1
rozpacz	1
spojrza	3
bya	78
obrzka	1
buta	1
tacami	1
helen	4
tymczasem	17
szybko	10
bieg	2
bosaka	1
mokrada	1
czk	15
stron	95
pustkowia	2
tam	1304
dusznej	1
izbie	4
zaraz	11
spieszc	1
poegna	2
obecnych	4
pochwaleniem	1
boga	75
zamkn	24
sob	185
drzwi	8
tego	420
popiechu	1
zdar	1
drzwiami	1
pit	10
struchla	1
uwiadomi	6
dzisiejsze	2
butów	4
wic	102
pomyla	2
wciekoci	1
gdy	66
ciemnio	1
cichaczem	1
wykrad	1
domu	43
pokutyka	1
chaty	5
nad	1111
jeziorem	9
wschodzi	1
ksiyc	4
duy	7
czerwony	2
daleka	66
sycha	9
byo	108
wrzaw	3
szurganie	1
haasie	1
grajek	1
musia	5
skadali	2
przecie	14
skrzypka	1
ssiedniej	1
da	64
noc	343
dwa	327
zote	3
dodatkowo	2
gdyby	13
pka	2
mu	249
struna	17
zoty	16
dwadziecia	3
miejscu	11
ostronie	1
zbliy	4
otwartego	3
okna	3
zewntrz	3
oparty	5
najstarszy	2
mieszkaniec	1
siedemdziesicioletni	1
starzec	4
który	96
przyglda	2
taczcym	2
take	225
wsun	1
gow	77
wntrza	2
zobaczy	8
mrocznej	2
ciasno	2
stoczone	1
pary	1
rogu	6
izby	9
sta	74
jakim	6
podwyszeniu	3
skrzypek	1
zamaszycie	1
rn	13
smyczkiem	1
strunach	1
heleny	1
duszej	1
chwili	22
zauway	18
dziewczyn	4
taczya	1
jednak	312
jankiem	1
cudzym	2
wysokim	3
dryblasem	1
kapeluszu	5
helena	6
miaa	142
oczy	11
byszczay	1
kadym	12
obrotem	1
wiecia	4
bia	17
halk	1
zaskoczony	3
zwróci	10
dziadka	5
wë	129
dzadkù	3
wiéce	6
ktoe	1
òn	1793
cëzy	29
nié	822
chòba	24
jinszi	143
parafii	25
obojtnie	2
odrzek	10
dziadek	10
frankù	1
tacujesz	2
môsz	115
zainteresowa	2
odpowiedzia	3
chmurn	1
min	162
wci	19
bardzo	51
rozbawiona	1
zaczynaa	1
coraz	26
mniej	26
podoba	5
westchn	16
akurat	6
spostrzeg	4
drugiej	24
stronie	69
starca	3
stoi	19
podobnie	24
on	73
smtnie	3
popatrujc	1
gb	28
razu	108
niego	19
sympati	7
chcia	8
zawoa	5
witôje	5
brace	22
kòchóny	25
wycign	5
rk	194
zabrako	2
odwagi	1
umiechn	2
te	1117
obejrza	3
jónkù	3
chòr	2
nogã	12
poskary	1
zdziwi	4
pyta	3
zwracajc	1
bardziej	46
wiéta	45
sztôtny	2
dziadkiem	1
lëchò	52
rozwaa	1
bò	874
jesz	1246
czej	928
bé	2053
modi	130
esma	18
tacowelë	5
taczi	327
dzewùs	2
naszima	5
chce	169
cëzym	9
przëszed	137
jeden	483
wéj	9
wskaza	4
kierunku	7
taczcego	1
chtërnégò	604
nicht	140
znô	40
ùkoni	1
zaczãlë	52
dugò	120
tokù	2
wiedzô	68
mô	1273
jednã	62
szpérã	7
kósk	7
wyszeptali	1
przeraeniem	1
ja	953
òni	348
zatacowelë	1
tegò	777
cign	27
zamyli	4
zabôczi	13
tuc	48
nazéwô	50
taczégò	52
rôz	341
praw	33
lew	33
gajdã	2
górë	107
pòdnôszaj	2
tedë	213
dopiérze	295
dzéwczã	81
òbôczëo	1
ta	497
jedna	141
jegò	1358
szpéra	2
bëa	834
kóskô	2
prawi	24
gajdze	1
bót	3
kósczi	9
kót	1
zlãko	1
strachù	45
krziknão	1
dwiérzama	8
òknã	6
wëlecô	4
jich	1160
wiãcy	114
òbôczi	3
bëo	1002
znowu	18
opar	3
pisôrka	18
chtërna	278
parapet	1
wpatrujc	1
taczcych	1
pisa	55
ëcym	115
bez	718
przerwy	4
ledzi	1
teraz	20
wzrokiem	3
pòcztkù	56
xx	158
stolecégò	11
ùrodza	8
cudzego	1
pogwizdywa	1
przëmùszewie	3
chònicczim	62
taca	11
krézu	1233
familie	33
trzebiatowsczich	3
którzy	65
dnia	172
uwierzyji	1
dokazë	69
pisóné	52
pòlskù	86
liby	1
bajania	3
starego	13
rodku	9
kaszëbsczima	21
dialogama	1
nocy	16
poczuli	4
troch	5
nieswojo	2
przenikn	1
jaki	7
dreszcz	1
aowali	1
tacz	3
tã	179
widzelë	20
póbrat	4
trzecégò	16
pòkòleniô	21
terô	371
ëje	230
ùdawi	1
gãs	14
òkras	1
dôwno	40
zapytali	1
ech	2
niedôwno	8
stary	12
pokrci	1
jaczich	278
piãcdzest	4
dwadzesce	20
cudzy	2
mocno	18
rozbawiony	1
krci	3
tacu	1
obejmujc	1
nieustannie	4
czasu	470
pokrzykiwa	1
grajka	1
wród	92
ogólnej	2
wesooci	1
chwila	13
przytupywa	1
wanie	32
gono	14
zakomenderowa	1
galopem	1
lewo	1
tamten	9
dëcht	70
wëzdrzô	15
mrucza	1
cigle	5
majc	3
oku	21
nieznanego	1
modzieca	1
gò	762
wié	88
tim	1232
kapeluszã	2
môëch	31
róków	1
rzechòce	1
wykrzykn	2
chopców	1
nagle	8
grajkowi	1
uniós	3
skrzypce	1
gór	57
pokazujc	3
nale	5
uzgodnione	1
pienidze	10
zrobi	95
tumult	1
tancerze	2
popochu	1
pchali	1
wyjcia	7
wybuch	6
poar	1
ogóle	7
paci	3
muzykowanie	1
wyskoczy	3
okno	3
potrcajc	1
biôje	3
diôchle	1
rogati	3
spieklony	2
zawrzeszcza	1
podnoszc	4
ziemi	157
klnicee	1
nocë	210
ssiad	8
pomóg	1
wsta	4
tec	82
lëbera	3
wòjska	43
zdziwiony	4
oburzony	1
krewny	11
në	103
jo	146
òkno	29
wëskòczi	5
wnuk	6
rykn	2
dziadkowi	1
ucha	2
bo	856
dworze	6
gwar	109
walili	1
umyka	1
swoj	42
wtóroway	1
krzyki	1
miechy	1
zbierali	1
kutykajc	1
przystan	1
pochyli	2
bosymi	1
nogami	3
wietle	7
ksiyca	2
obwizan	1
szmat	4
popatrzyli	1
milczcym	1
porozumieniu	2
sowa	624
ruszyli	1
dalej	22
nigdy	15
czuli	3
bliscy	1
powrotu	3
taców	1
wyrazi	2
umieli	1
zaprojektujta	2
rôczbã	9
zabawã	6
werë	1
wëzwëskôjta	8
wiada	67
tekstu	213
anë	26
przëzérô	17
tacëjcym	1
zabawie	4
czim	333
rozpòwiôdelë	1
historiã	60
òpòwiedzô	8
knôpóm	4
jakbë	257
zabawa	13
wiesélnô	1
bòhaterach	3
mòna	87
bë	863
rzec	100
òknowima	1
przeczëtôj	92
sowarza	37
sëchtë	79
temat	74
òceniwôsz	1
drëszstwò	4
frãcka	5
zdaniów	59
szadim	2
bùkã	8
tuce	13
tradicj	12
sygô	20
stolecô	4
midzë	427
hopòwã	1
somòninã	1
smùdze	1
piérwi	25
rós	11
stolemny	16
bùk	8
òdbiwaë	4
baro	600
znóné	72
caim	98
òkòlim	85
grajkòwie	1
bilë	1
ebë	536
zagrac	6
mùzyce	9
lëdze	476
cygnãlë	3
szadégò	2
bùka	4
kòdi	161
stronë	195
latach	468
stôrégò	50
